,precision,recall,f1-score,support
Fail,0.0,0.0,0.0,2.0
DD,0.0,0.0,0.0,3.0
DC,0.5,0.3333333333333333,0.4,3.0
CC,0.0,0.0,0.0,3.0
CB,0.0,0.0,0.0,2.0
BB,0.0,0.0,0.0,4.0
BA,0.0,0.0,0.0,5.0
AA,0.36363636363636365,0.5714285714285714,0.4444444444444444,7.0
accuracy,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483
macro avg,0.10795454545454546,0.11309523809523808,0.10555555555555556,29.0
weighted avg,0.13949843260188086,0.1724137931034483,0.1486590038314176,29.0
